"","Index","ID","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
"1",1,1,"35-44","Female","Professional certificate/diploma","UK",NA,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,"Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"2",2,2,"25-34","Male","Doctorate degree","UK","White",-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,"Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Used in Last Month","Used in Last Day","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used"
"3",3,3,"35-44","Male","Professional certificate/diploma","UK","White",-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Year","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used"
"4",4,4,"18-24","Female","Masters degree","UK","White",-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,"Used in Last Month","Never Used","Never Used","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Month","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"5",5,5,"35-44","Female","Doctorate degree","UK","White",0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,"Used in Last Month","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used"
"6",6,6,"65+","Female","Left school at 18 years","Canada","White",-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,"Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"7",7,7,"45-54","Male","Masters degree","USA","White",-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"8",8,8,"35-44","Male",NA,"UK","White",-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"9",9,9,"35-44","Female","Professional certificate/diploma","Canada","White",0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"10",10,10,"55-64","Male","Masters degree","UK","White",-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,"Used in Last Day","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"11",11,11,"25-34","Female","University degree","UK","White",-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,"Used in Last Week","Never Used","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Used over a Decade Ago"
"12",12,12,"45-54","Male","Some college or university, no certificate or degree","Other","White",-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.2247,"Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Week","Used in Last Decade","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"13",13,13,"55-64","Female","University degree","UK","White",2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,"Used in Last Week","Used over a Decade Ago","Never Used","Used in Last Month","Used in Last Day","Used in Last Year","Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"14",14,14,"55-64","Female","Professional certificate/diploma","Canada","White",-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,"Used over a Decade Ago","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
"15",15,15,"55-64","Female","Professional certificate/diploma","UK","White",-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"16",16,16,"55-64","Male","University degree","UK","White",-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,"Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Week","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"17",17,17,"35-44","Female","Some college or university, no certificate or degree","UK","White",-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,"Used in Last Day","Never Used","Never Used","Used over a Decade Ago","Used in Last Day","Used in Last Year","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"18",18,18,"45-54","Male",NA,"UK","White",0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Day","Used in Last Month","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"19",19,19,"55-64","Male","University degree","Australia","White",1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,"Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used"
"20",20,20,"35-44","Male","Professional certificate/diploma","UK","White",-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,"Used in Last Month","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used over a Decade Ago","Never Used","Never Used"
"21",21,21,"45-54","Male","Professional certificate/diploma","UK","White",-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Year","Never Used","Never Used"
"22",22,22,"65+","Male","Left school before 16 years","UK","White",-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used"
"23",23,23,"45-54","Male","University degree","UK","White",0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"24",24,24,"45-54","Male",NA,"UK","White",1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,"Used in Last Day","Used in Last Decade","Used over a Decade Ago","Used in Last Week","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Never Used","Used over a Decade Ago"
"25",25,25,"55-64","Male","University degree","UK","White",-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Week","Used over a Decade Ago","Used in Last Week","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
